"object_number","object_name","dimensions","reproduction.path"
"NK2815","Meshed-tapijt","hoogte 475 cm; breedte 300 cm","NK_collectie/images_remove_frame/0254014b-6d60-8791-884c-37b1a7197629_cropped.jpg"
"NK2816","schilderij","hoogte 100 cm; breedte 121 cm; diepte 5.5 cm; hoogte 80 cm; breedte 100 cm","NK_collectie/images_remove_frame/d16967f9-2505-988a-f97d-67e45f7dcb3f_cropped.jpg"
"NK2816","schilderij","hoogte 100 cm; breedte 121 cm; diepte 5.5 cm; hoogte 80 cm; breedte 100 cm","NK_collectie/images_remove_frame/05452702-54da-5e03-851c-47ac3e9dbe07_cropped.jpg"
"NK2816","schilderij","hoogte 100 cm; breedte 121 cm; diepte 5.5 cm; hoogte 80 cm; breedte 100 cm","NK_collectie/images_remove_frame/cf9cbb2f-d879-08b1-2614-792654c37148_cropped.jpg"
"NK2819","schilderij","hoogte 93 cm; breedte 78 cm; diepte 7 cm; hoogte 75.5 cm; breedte 60 cm; hoogte 73.5 cm; breedte 58 cm","NK_collectie/images_remove_frame/71b6fd25-75eb-2908-dba5-855dc5ef07d3_cropped.jpg"
"NK2819","schilderij","hoogte 93 cm; breedte 78 cm; diepte 7 cm; hoogte 75.5 cm; breedte 60 cm; hoogte 73.5 cm; breedte 58 cm","NK_collectie/images_remove_frame/ac3b0d34-04aa-24b1-e103-665692a65e83_cropped.jpg"
"NK2821","schilderij","hoogte 66.5 cm; breedte 27 cm; diepte 3.5 cm; hoogte 77.5 cm; breedte 42.5 cm; diepte 7.5 cm","NK_collectie/images_remove_frame/5f85792b-2baf-48d8-b237-4a39c006c2ed_cropped.jpg"
"NK2821","schilderij","hoogte 66.5 cm; breedte 27 cm; diepte 3.5 cm; hoogte 77.5 cm; breedte 42.5 cm; diepte 7.5 cm","NK_collectie/images_remove_frame/30a2752d-17ae-8945-9789-1a2d1d3c5c30_cropped.jpg"
"NK2823","schilderij","hoogte 86.5 cm; breedte 102.5 cm; diepte 15 cm; hoogte 53 cm; breedte 69 cm","NK_collectie/images_remove_frame/2a40059a-dc78-8693-158a-b2ba7be6a872_cropped.jpg"
"NK2823","schilderij","hoogte 86.5 cm; breedte 102.5 cm; diepte 15 cm; hoogte 53 cm; breedte 69 cm","NK_collectie/images_remove_frame/f3219eef-03f4-eee3-094a-898eb7629676_cropped.jpg"
"NK2823","schilderij","hoogte 86.5 cm; breedte 102.5 cm; diepte 15 cm; hoogte 53 cm; breedte 69 cm","NK_collectie/images_remove_frame/c0c4799c-8827-85b7-fc58-cb9375727a97_cropped.jpg"
"NK2824","schilderij","hoogte 88 cm; breedte 57 cm","NK_collectie/images_remove_frame/442be26e-4fb2-b888-299b-ed15c1f4c15a_cropped.jpg"
